"index_panc_aetio","Aetiology of this index episode","1, Gallstones | 2, Alcohol | 3, Drug related | 4, Idiopathic | 5, Other | -99, Unknown"
"prev_panc_drug_2","Please specify the drug:","1, Steroids | 2, Thiazide diuretics | 3, Azothioprine | 4, Valoret | 5, Carbamazepine | 0, Other"
"index_itu_yn","Was the patient admitted to ITU?","1, Yes | 0, No"
"index_naso","Nasoenteric feeding used?","1, Yes | 0, No"
"index_naso_type","Type of nasoenteric feeding","1, Nasogastric | 2, Nasojejunal | 0, Not known"
"index_pare","Parenteral nutrition used?","1, Yes | 0, No"
"index_chole","Was in-patient laparoscopic cholecystectomy performed?","1, Yes | 0, No"
"index_ercp","Was ERCP performed to treat pancreatitis whilst in-","1, Yes | 0, No"
"index_etoh","Was there inpatient alcohol support service input?","1, Yes | 0, No"
"comp_necrosis","Pancreatic necrosis","1, Yes | 0, No"
"comp_necrosis_y","Pancreatic necrosis","1, Sterile | 2, Infected"
"comp_necrosis_manage","Pancreatic necrosis - management","1, Conservatively | 2, Radiologically | 3, Surgically | -99, Unknown"
"comp_abscess","Pancreatic abscess","1, Yes | 0, No"
"comp_abscess_manage","Pancreatic abscess - management","1, Conservatively | 2, Radiologically | 3, Surgically | -99, Unknown"
"comp_pseudo","Pseudocyst formation","1, Yes | 0, No"
"comp_pseudo_manage","Pseudocyst - management","1, Conservatively | 2, Radiologically | 3, Surgically | -99, Unknown"
"comp_splein_thromb","Splenic vein thrombosis","1, Yes | 0, No"
"comp_other_thromb","Other venous thrombosis","1, Yes | 0, No"
"comp_fistula","Pancreatic !stula","1, Yes | 0, No"
"comp_pei","Pancreatic exocrine insufficiency","1, Yes | 0, No"
"comp_diabetes","Diabetes type 3c","1, Yes | 0, No"
"comp_anxiety","New onset anxiety","1, Yes | 0, No"
"comp_depress","New onset depression","1, Yes | 0, No"
"comp_other","Other pancreatitis related complication","1, Yes | 0, No"
"post_outpat_yn","Planned outpatient follow-up with hospital specialist?","1, Yes | 0, No | 2, Gastroenterology | 3, General Surgery | 4, Upper GI Surgery | 5, Hepatobiliary Surgery | -99, Unknown"
"post_outpat_yn_2","Is it known when this outpatient appointment was","1, Yes | 0, No"
"post_virtual","Was discharge to a virtual ward?","1, Yes | 0, No"
"post_amb","Was discharge to ambulatory care?","1, Yes | 0, No"
"post_chole","Was a laparoscopic cholecystectomy planned?","1, Yes | 0, No"
"post_chole_2","Is it known when this laparoscopic cholecystectomy was","1, Yes | 0, No"
"post_ercp","Was an ERCP planned?","1, Yes | 0, No"
"post_ercp_2","Is it known when this ERCP was scheduled for?","1, Yes | 0, No"
"post_other","Was any other follow-up planned?","1, Yes | 0, No"
"post_other_2","Is it known when this was scheduled for?","1, Yes | 0, No"
"post_pifu","Was there any patient-initiated follow-up (PIFU)?","1, Yes | 0, No"
"post_pifu_y","What route was the PIFU via?","1, Contact via emergency surgery team | 2, Contact via patient consultant outpatient | 3, Contact via UGI/ HPB surgeon outpatient | 4, Contact via specialist nurse outpatient | 0, Other"
"post_gp","Was a GP appointment recommended at discharge?","1, Yes | 0, No"
"post_gp_2","Is it known when this GP appointment was scheduled","1, Yes | 0, No"
"post_community","Was community or virtual follow-up planned?","1, Yes | 0, No"
"post_community_what","What form did this community of virtual follow-up take?","1, Telephone call | 2, Video call | 3, Home visit | 0, Other"
"post_community_2","Is it known when this community or virtual follow-up was","1, Yes | 0, No"
"post_meds","Were any new medications started for pancreatitis or","1, Yes | 0, No"
"post_meds_what","Please list the new medications","1, post_meds_what___1 LMWH | 2, post_meds_what___2 Creon | 3, post_meds_what___3 Insulin | 4, post_meds_what___4 Antiemetic | 5, post_meds_what___5 Other anticoagulants | 0, post_meds_what___0 Other"
"post_dietetic","Was a referral made for dietetic support?","1, Yes | 0, No"
"post_dietetic_2","Is it known when this dietetic support was scheduled for?","1, Yes | 0, No ustom alignment: RH"
"post_diabetic","Was a referral made for diabetic support?","1, Yes | 0, No"
"post_diabetic_2","Is it known when this diabetic support was scheduled","1, Yes | 0, No"
